,Wholesale trade (F),Retail trade (G)
Sep-94,36,27.3
Dec-94,35.9,27
Mar-95,35.7,26.6
Jun-95,35.9,26.9
Sep-95,36.1,26.7
Dec-95,36.3,25.8
Mar-96,35.9,26.3
Jun-96,36,26.6
Sep-96,35.7,26.5
Dec-96,35.9,26.3
Mar-97,35.9,26.2
Jun-97,35.8,26.4
Sep-97,35.7,25.8
Dec-97,35.6,26.3
Mar-98,35.9,26.2
Jun-98,35.5,26
Sep-98,35.4,25.7
Dec-98,35.7,26.2
Mar-99,35.8,26
Jun-99,36,26.1
Sep-99,35.9,26.7
Dec-99,36,26.2
Mar-00,35.8,26.6
Jun-00,35.6,26
Sep-00,36.1,26.1
Dec-00,35.6,26
Mar-01,35.5,25.3
Jun-01,35.5,25.4
Sep-01,35.4,25.3
Dec-01,35.6,25.4
Mar-02,35.4,25.5
Jun-02,35.4,25.4
Sep-02,35.2,25.4
Dec-02,35.2,24.9
Mar-03,35.2,25.5
Jun-03,35.3,25.5
Sep-03,35.4,25.2
Dec-03,35.4,25.4
Mar-04,35.2,25.4
Jun-04,35.1,25.3
Sep-04,34.7,25.4
Dec-04,34.7,25.5
Mar-05,34.8,25.4
Jun-05,34.8,25.6
Sep-05,34.8,25.6
Dec-05,34.6,25.5
Mar-06,34.6,25.2
Jun-06,35.1,25.3
Sep-06,35.1,26.3
Dec-06,34.7,25.9
Mar-07,35.5,26.2
Jun-07,35.2,25.9
Sep-07,34.6,25.9
Dec-07,34.6,26
Mar-08,35,26
Jun-08,34.8,25.5
Sep-08,35.1,25.1
Dec-08,34.7,25
Mar-09,34.5,25.1
Jun-09,34.7,25.4
Sep-09,34.6,25.3
Dec-09,34.9,25
Mar-10,35,25.2
Jun-10,34.7,25.3
Sep-10,34.9,25.3
Dec-10,35.2,25.3
Mar-11,35.1,25.5
Jun-11,35.2,25.4
Sep-11,34.8,25.8
Dec-11,34.6,25.8
Mar-12,34.4,25.4
Jun-12,34.8,24.6
Sep-12,34.9,25.6
Dec-12,34.8,25
Mar-13,34.6,25.1
Jun-13,34.6,25.4
Sep-13,34.5,25
Dec-13,34.4,24.5
Mar-14,34.7,25.2
Jun-14,34.8,25
Sep-14,35.2,25.3
Dec-14,34.8,25.6
Mar-15,35.2,25.5
Jun-15,34.8,25.5
Sep-15,34.7,25.5
Dec-15,34.6,25.4
Mar-16,34.9,25.3
Jun-16,34.8,25.3
Sep-16,35,25.4
Dec-16,35.1,25.2
Mar-17,34.4,24.9
Jun-17,35.3,26
Sep-17,35.1,26
Dec-17,35.5,25.4
Mar-18,35.4,25.2
Jun-18,35.3,24.8
Sep-18,35.2,25.2
Dec-18,34.8,24.4
Mar-19,35.1,24.9
Jun-19,34.8,24.8
Sep-19,34.8,24.4
