,Turnover ;  New South Wales ;  Total (Industry) ;,Turnover ;  Victoria ;  Total (Industry) ;,Turnover ;  Queensland ;  Total (Industry) ;,Turnover ;  South Australia ;  Total (Industry) ;,Turnover ;  Western Australia ;  Total (Industry) ;,Turnover ;  Tasmania ;  Total (Industry) ;,Turnover ;  Northern Territory ;  Total (Industry) ;,Turnover ;  Australian Capital Territory ;  Total (Industry) ;,Turnover ;  Total (State) ;  Total (Industry) ;,Turnover ;  New South Wales ;  Total (Industry) ;,Turnover ;  Victoria ;  Total (Industry) ;,Turnover ;  Queensland ;  Total (Industry) ;,Turnover ;  South Australia ;  Total (Industry) ;,Turnover ;  Western Australia ;  Total (Industry) ;,Turnover ;  Tasmania ;  Total (Industry) ;,Turnover ;  Northern Territory ;  Total (Industry) ;,Turnover ;  Australian Capital Territory ;  Total (Industry) ;,Turnover ;  Total (State) ;  Total (Industry) ;,Turnover ;  New South Wales ;  Total (Industry) ;,Turnover ;  Victoria ;  Total (Industry) ;,Turnover ;  Queensland ;  Total (Industry) ;,Turnover ;  South Australia ;  Total (Industry) ;,Turnover ;  Western Australia ;  Total (Industry) ;,Turnover ;  Tasmania ;  Total (Industry) ;,Turnover ;  Northern Territory ;  Total (Industry) ;,Turnover ;  Australian Capital Territory ;  Total (Industry) ;,Turnover ;  Total (State) ;  Total (Industry) ;
Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend
Apr-1982,1250.2,916.2,486.3,279.4,298.3,79.9,,57.1,3396.4,1310.8,932.0,508.6,284.3,313.0,81.6,,57.8,3518.7,1310.2,933.2,511.7,284.0,315.3,81.3,,57.2,3523.4
May-1982,1300.0,931.2,492.8,288.0,318.5,78.9,,57.3,3497.9,1305.4,938.9,510.1,288.8,315.4,80.5,,57.7,3527.6,1307.4,938.9,513.6,287.6,316.4,81.6,,57.4,3533.6
Jun-1982,1234.2,887.0,494.1,277.2,301.5,77.5,,55.3,3357.8,1309.8,952.8,518.6,288.9,321.2,81.0,,58.3,3561.5,1305.1,946.3,515.7,291.8,317.8,81.9,,57.7,3547.0
Jul-1982,1265.0,921.3,515.6,296.1,316.4,82.7,,56.3,3486.8,1291.9,955.9,518.1,296.2,320.4,83.7,,56.8,3553.9,1302.4,954.3,517.3,296.3,319.1,82.2,,58.2,3560.6
Aug-1982,1217.6,883.2,501.4,288.4,300.5,78.1,,55.4,3355.9,1314.4,950.7,521.4,303.6,318.5,83.3,,58.9,3581.8,1298.1,963.6,518.0,301.1,320.4,82.4,,58.9,3573.6
Sep-1982,1244.9,917.9,517.7,293.0,312.3,79.1,,57.5,3454.3,1292.4,971.8,521.0,303.7,319.6,82.5,,59.0,3581.2,1293.1,974.1,517.9,306.2,321.6,82.4,,60.0,3586.7
Oct-1982,1264.2,983.3,504.2,307.9,318.7,78.7,,61.9,3551.5,1289.4,987.7,510.9,310.8,322.2,81.1,,61.6,3595.6,1293.2,985.5,518.1,311.3,322.6,82.5,,61.2,3605.8
Nov-1982,1372.6,1065.2,536.0,332.1,337.9,86.5,,68.3,3830.5,1300.6,1007.5,520.6,318.0,326.9,82.9,,63.2,3651.7,1303.0,998.2,519.8,316.3,323.4,82.8,,62.3,3637.7
