,Basic material wholesaling (33) (%),Machinery & equipment wholesaling (34) (%),Motor vehicle & parts wholesaling (35) (%),"Grocery, liquor & tobacco product wholesaling (36) (%)",Other goods wholesaling (37) (%),Commission-based wholesaling (38) (%)
2009-2010,21.9,27.7,7.6,15.4,24.6,2.8
2010-2011,21.6,29,7.9,14.2,24.4,2.9
2011-2012,21.5,29.1,7.7,14.7,23.7,3.3
2012-2013,21.3,29.7,7.2,13.6,24.7,3.4
2013-2014,20.2,29,7.3,15,25.3,3.3
2014-2015,19.7,29.6,7.8,15,24.4,3.5
2015-2016,18.5,30.5,7.8,15.5,23,4.7
2016-2017,20.3,31.2,7.6,15.2,21.1,4.5
2017-2018,19.7,32,8.8,14.6,19.6,5.3
2018-2019,19,31.7,8.5,14.3,20.1,6.3
